engine,adapter_kind,workload,durability_profile,dataset_size,iterations,mean_us,p50_us,p95_us,p99_us,throughput_per_s,disk_bytes,checkpoint_us,recovery_us,notes
sqlite,embedded-native,point_read,durable,medium,300,4.90811,5.021,5.403,5.536,203745,3608936,-1,-1,""
sqlite,embedded-native,range_scan,durable,medium,10,8971.78,7413.07,12693,12693,111.461,3608936,-1,-1,"equality filter + order-by-seq + limit; no secondary index used"
sqlite,embedded-native,checkpoint,durable,medium,3,1781.33,12.72,12.72,12.72,561.38,3575808,1781.33,-1,""
sqlite,embedded-native,recovery,durable,medium,3,172.27,139.614,139.614,139.614,5804.83,3575808,-1,172.27,""
sqlite,embedded-native,bulk_load,durable,large,20000,3.97947,3.97947,3.97947,3.97947,251290,29002440,-1,-1,""
sqlite,embedded-native,point_read,durable,large,300,5.52755,5.425,6.104,8.228,180912,29002440,-1,-1,""
sqlite,embedded-native,range_scan,durable,large,4,26106.4,25849.5,25849.5,25849.5,38.3048,29002440,-1,-1,"equality filter + order-by-seq + limit; no secondary index used"
sqlite,embedded-native,checkpoint,durable,large,3,329.546,9.084,9.084,9.084,3034.48,14471168,329.546,-1,""
sqlite,embedded-native,recovery,durable,large,3,149.187,130.28,130.28,130.28,6703.01,14471168,-1,149.187,""
sqlite,embedded-native,bulk_load_per_row_commit,durable,small,1000,896.622,896.622,896.622,896.622,1115.3,4255200,-1,-1,"one commit per row, contrast with bulk_load's single commit"
sqlite,embedded-native,mixed_read_write,durable,small,200,168.457,13.154,974.824,1073.85,5936.25,288216,-1,-1,"80/20 read/write mix"
sqlite,embedded-native,small_durable_txn,relaxed,n/a,200,12.8221,12.369,16.003,20.38,77990.4,906216,-1,-1,""
sqlite,embedded-native,bulk_load,relaxed,small,1000,2.5906,2.5906,2.5906,2.5906,386011,152256,-1,-1,""
sqlite,embedded-native,point_read,relaxed,small,300,4.47159,4.401,4.716,7.241,223634,152256,-1,-1,""
sqlite,embedded-native,range_scan,relaxed,small,20,227.687,223.444,254.836,254.836,4392,152256,-1,-1,"equality filter + order-by-seq + limit; no secondary index used"
sqlite,embedded-native,checkpoint,relaxed,small,3,38.6577,7.02,7.02,7.02,25868.1,139264,38.6577,-1,""
